Creation Date,UID,SKU,Products,Type,Title,Collection,Category,Family,Price,Color,Size,Display,,Count,Online,Images
,20176T-J-L,20176T-J-L,20176T-J-L,,PEPLUM TOP BLACK/JADE,Clothing,Tops,Tops,38.00,Black,L,,,1,y,
,D4030-M,D4030-M,D4030-M,,PINK BOW DRESS,Clothing,Dresses,DRESS,54.99,,M,,,1,y,
,T61400-M,T61400-M,T61400-M,,PINK TOP W/COLLAR,Clothing,Tops,Tops,40.00,PINK,M,,,2,y,
,T61400-L,T61400-L,T61400-L,,PINK TOP W/COLLAR,Clothing,Tops,Tops,40.00,PINK,L,,,1,y,
,D50361-M,D50361-M,D50361-M,,POLKA DOT DRESS,Clothing,Dresses,DRESS,64.99,,M,,,1,y,
,D50361-L,D50361-L,D50361-L,,POLKA DOT DRESS,Clothing,Dresses,DRESS,64.99,,L,,,1,y,
,20195T-J-M,20195T-J-M,20195T-J-M,,PRINTED TANK BLACK/BLUE,Clothing,Tops,Tops,45.00,BLUE/ Black,M,,,2,y,
,20195T-J-L,20195T-J-L,20195T-J-L,,PRINTED TANK BLACK/BLUE,Clothing,Tops,Tops,45.00,BLUE/ Black,L,,,1,y,
,AU13-110-M,AU13-110-M,AU13-110-M,,RABBIT HOLE SWEATER,Clothing,Tops,Tops,49.50,YELLOW,M,,,1,y,
,AU13-110-L,AU13-110-L,AU13-110-L,,RABBIT HOLE SWEATER,Clothing,Tops,Tops,49.50,YELLOW,L,,,1,y,
,S13-077-M,S13-077-M,S13-077-M,,RED KNITTED LONG PANTS,Clothing,Bottoms,Pants,49.99,,M,,,1,y,
,S13-077-L,S13-077-L,S13-077-L,,RED KNITTED LONG PANTS,Clothing,Bottoms,Pants,49.99,,L,,,1,y,
,SW110R-M,SW110R-M,SW110R-M,,RUST STRIPE SWEATER,,,COAT,63.00,RUST,M,,,1,y,
,SW110R-L,SW110R-L,SW110R-L,,RUST STRIPE SWEATER,,,COAT,63.00,RUST,L,,,0,y,
,NJ70828B-M,NJ70828B-M,NJ70828B-M,,SHORTS BLACK VELVET W/FLOWERS,Clothing,Bottoms,SHORTS,54.00,Black,M,,,2,y,
,AU13-090-M,AU13-090-M,AU13-090-M,,SISTER NUN DRESS,Clothing,Dresses,DRESS,58.50,Black/ White,M,,,2,y,
,AU13-090-L,AU13-090-L,AU13-090-L,,SISTER NUN DRESS,Clothing,Dresses,DRESS,58.50,Black/ White,L,,,1,y,
,90923P-M,90923P-M,90923P-M,,SLEEVELESS OPEN BACK DRESS IN PINK,Clothing,Dresses,DRESS,49.99,PINK,M,,,1,y,
,90923P-L,90923P-L,90923P-L,,SLEEVELESS OPEN BACK DRESS IN PINK,Clothing,Dresses,DRESS,49.99,PINK,L,,,1,y,
,AU13-055-S,AU13-055-S,AU13-055-S,,SPACE COWBOY DRESS,Clothing,Dresses,DRESS,72.00,Black,S,,,1,y,
,AU13-055-M,AU13-055-M,AU13-055-M,,SPACE COWBOY DRESS,Clothing,Dresses,DRESS,72.00,Black,M,,,1,y,
,AU13-055-L,AU13-055-L,AU13-055-L,,SPACE COWBOY DRESS,Clothing,Dresses,DRESS,72.00,Black,L,,,1,y,
